complaint,incident_date,county,incident_zip,complaint_type,complaint_description,recieved_date,incident_status_desc,incident_closed_date
222084,2024-01-26,,21226,Smoke,"2024-0046
2024-0047
Report of Smoke coming from Curtis Bay Energy.  Photos and video sent.",2024-01-26,Under Investigation,
222071,2024-02-01,Cecil,21903,"Air, Odor, Smoke",Smoke and odor emanating from neighbor's chimney stack.,2024-02-01,Referred to Outside Agency,
222070,2024-01-30,Montgomery,20852,"Air, Odor, Smoke",Smoke and odor emanating from boiler at Village Square Terrace Apartments.,2024-01-30,Incident Closed-Managed,2024-02-06
222068,2024-02-05,Not Yet Determined,,Other,concern of air pollution from private contractor,2024-02-05,Incident Closed-Managed,2024-02-05
222067,2024-02-01,Prince George's,,Other,concern of loud noise in the Cheverly area,2024-02-01,Incident Closed-Managed,2024-02-05
222055,2024-02-01,Frederick,,Air,"Dust from sand blasting vehicles. 
 The Complainant submitted a video attached in a text message.  Video does not transfer into ETS system.  Video viewed.  Dust observed from operations.  Dust accumulation on Complainant's property and personal vehicles.",2024-02-01,Referred to Attorney General's Office,
222054,2024-02-01,Frederick,,Air,Burning rubber type of odor,2024-02-02,Under Investigation,
222053,2024-01-31,Prince George's,,Other,Inquiry regarding banning lawn mowers and leaf blowers,2024-01-31,Incident Closed-Managed,2024-02-02
222052,2024-01-31,Howard,,Other,concern of strong odor on RT 1 & 175,2024-01-31,Incident Closed-Managed,2024-02-02
222051,2024-02-01,Anne Arundel,21122,Air,Cardboard boxes stacked up in fire pit.  Complainant submitted 2 pictures.  Site inspection verifies pictures are accurate.,2024-02-01,Incident Closed-Managed,2024-02-02
222044,2024-01-25,Anne Arundel,21226,Odor,Odor Complaint,2024-01-25,Incident Closed - No further action,2024-01-25
222043,2024-01-25,Anne Arundel,21226,Odor,Odor Complaint,2024-01-25,Incident Closed - No further action,2024-01-25
222036,2024-01-30,Prince George's,,Other,Concern of neighbor burning leaf in the area.,2024-01-30,Incident Closed-Managed,2024-02-02
222032,2024-01-25,Prince George's,,Other,Concern of odor in college park dorm apartment,2024-01-25,Incident Closed-Managed,2024-01-31
222027,,Baltimore,21227,Fugitive Dust/Particulate Matter,Dust,2024-01-26,Incident Closed-Managed,2024-01-29
222026,2024-01-29,Anne Arundel,,Air,Spray painting odor from garage at 1391 Defense Hwy.,2024-01-29,Under Investigation,
222022,2024-01-26,Anne Arundel,21061,Air,Complainant called to say he thinks his neighbor is going to start his firepit in the future and cause smoke.  No firepit activity at the time of the phone call.,2024-01-26,Incident Closed-No Violation Observed,2024-01-26
222019,2024-01-25,Anne Arundel,21060,Air,Septic type odor.,2024-01-25,Incident Closed-Managed,2024-02-06
222016,,Baltimore,21227,Fugitive Dust/Particulate Matter,Dust,2024-01-24,Incident Closed-Managed,2024-01-29
222015,,Baltimore,21227,Fugitive Dust/Particulate Matter,Dust,2024-01-24,Incident Closed-Managed,2024-01-29
222014,2024-01-25,Anne Arundel,,Air,Burning cardboard outside backyard.,2024-01-25,Under Investigation,
222012,2024-01-24,Anne Arundel,,Air,The complainant states they are concerned with general poor air quality in Anne Arundel County.,2024-01-24,Incident Closed-Managed,2024-01-25
222010,2024-01-03,,21230,Smoke,Black and gray smoke coming from Wheelabrator Stack,2024-01-03,Incident Closed-Managed,2024-01-24
222009,2024-01-24,,21226,Smoke,Smoke coming out of the building,2024-01-24,Under Investigation,
222008,2024-01-13,,21226,"Odor, Smoke",Air smelt like burning rubber.  Smoke coming from Curtis Bay Medical waste.,2024-01-16,Under Investigation,
222007,2024-01-05,,21226,Smoke,Plumes of black smoke coming from the facility.,2024-01-05,Under Investigation,
222005,,Baltimore,21227,Fugitive Dust/Particulate Matter,Dust from concrete grinding,2024-01-17,Incident Closed-Managed,2024-01-29
222004,,Baltimore,21228,Fumes,Bumper touch up creating fumes.,2024-01-18,Incident Closed-Managed,2024-01-24
222002,2024-01-23,Frederick,21703,Air,Smoke from wood burning stove in a barn.  Chemical odor.  Complaint of burning  treated pallets.  Complainant called the Fire Department in the past due to possibly burning plastics and rubber.  Property search states parcel of land is 17 and a half acres.,2024-01-23,Incident Closed-No Violation Observed,2024-02-07
221998,2024-01-12,Montgomery,20904,Air,Concerned with CO levels in home and mold in the air conditioning unit.,2024-01-12,Incident Closed - No further action,2024-01-22
221996,2024-01-18,Prince George's,20747,Other,Concern of generator vibration.,2024-01-18,Incident Closed-Managed,2024-01-22
211996,2024-01-17,Cecil,21911,"Air, Odor",Extremely bad odor coming from West Coast Mushrooms.,2024-01-17,Referred to LMA,
211992,2024-01-17,Prince George's,,Other,Concern of Lead and smoke in Apartment,2024-01-17,Incident Closed-Managed,2024-01-17
211985,2024-01-11,Caroline,21660,Other,Concerns regarding DAF facility,2024-01-11,Referred to Outside Agency,
211984,2024-01-10,Caroline,21660,Other,Failing town wastewater plant and septic system,2024-01-10,Referred to WMA,
211983,2024-01-08,Baltimore City,,Odor,Odor Complaint,2024-01-08,Incident Closed - No further action,2024-01-08
211973,2024-01-11,Prince George's,,Other,Concern of burnt tar or coffee type odor,2024-01-11,Incident Closed-Managed,2024-01-12
211968,2024-01-04,Washington,,Other,Home VOC Concerns,2024-01-04,Incident Closed - No further action,2024-01-10
211967,2023-12-27,Allegany,21502,Smoke,Smoke and Odors,2023-12-27,Incident Closed - No further action,2024-02-15
211964,2024-01-02,Cecil,,"Air, Odor",Odor entering home at night during the past few nights,2024-01-02,Incident Closed - No further action,2024-01-09
211963,2024-01-03,Wicomico,21804,Open Burning,Open burning,2024-01-03,Incident Closed-No Violation Observed,2024-01-04
211961,,Baltimore,,Odor,Odor from marijuana farm on Aylesbury.,2024-01-06,Incident Closed-Managed,2024-01-09
211960,2024-01-08,Frederick,,Air,Dust from sand blasting commercial vehicles.  Complainant submitted two pictures.,2024-01-09,Referred to Attorney General's Office,
211959,2024-01-05,Anne Arundel,,Air,Odor inside house.  Roof leaking and water damage.,2024-01-05,Incident Closed-No Violation Observed,2024-01-09
211956,2024-01-05,Prince George's,,Other,Concern of odor in area.,2024-01-05,Incident Closed-Managed,2024-01-17
211955,2024-01-03,Prince George's,,Other,Concern of odor in the area,2024-01-03,Incident Closed-Managed,2024-01-17
211949,,Baltimore,,Odor,Odor in apartment,2024-01-03,Incident Not Applicable to MDE,
211948,,Baltimore,,Odor,Odor coming from possible landfill.,2024-01-03,Incident Closed-Managed,2024-01-04
211947,,Baltimore,21222,Fumes,Fumes from burning plastic.,2024-01-03,Incident Closed - No further action,2024-01-04
211938,2023-12-22,Howard,,Other,Concern toxic smell in apartment,2023-12-22,Incident Closed-Managed,2024-01-03
211934,2024-01-02,Anne Arundel,21061,Air,smoke from neighbor's firepit,2024-01-02,Incident Closed-No Violation Observed,2024-01-03
211932,2023-12-27,Anne Arundel,,Air,Odor complaint,2023-12-27,Incident Closed-Managed,2023-12-28
211930,,Baltimore,,Odor,Odors,2023-12-27,Incident Closed-Managed,2024-01-09
211926,2023-12-22,Frederick,21788,Air,"EPA email stated ""Painting vehicles under the table illegally.""",2023-12-22,Incident Closed-No Violation Observed,2024-01-03
211907,2023-12-21,Anne Arundel,21403,Air,"Burning chemicals, strong hazardous odor.",2023-12-21,Incident Closed-No Violation Observed,2024-01-08
201907,2023-12-20,Queen Anne's,21638,Air,"""Mold is present inside home. Looking for help.""",2023-12-20,Incident Closed-Managed,2023-12-21
201905,2023-12-20,Allegany,21536,Fugitive Dust/Particulate Matter,Roadway Dust from Coal Trucks,2023-12-20,Under Investigation,
201904,2023-12-15,Anne Arundel,21054,Air,Spoiled seafood odor in the area.,2023-12-15,Incident Closed-No Violation Observed,2023-12-21
201899,2023-12-18,Prince George's,,Other,Concern at the complainant's town home,2023-12-18,Incident Closed-Managed,2023-12-20
201898,,Baltimore,,Other,The bus terminal next door is expanding and complainant wishes to know regs involved.,2023-12-19,Incident Closed - No further action,2023-12-20
201894,,Harford,21001,Odor,Odors coming from biochar process,2023-12-18,Incident Closed-Managed,2023-12-21
201889,,Baltimore,,Fumes,Plane is spraying unknown substance.,2023-12-13,Referred to Outside Agency,
201885,2023-12-15,Prince George's,,Other,Obnoxious odor in Cheverly,2023-12-15,Incident Closed-Managed,2023-12-18
201883,2023-12-14,Howard,,Other,Concern of Indoor air quality,2023-12-14,Incident Closed-Managed,2023-12-18
201873,2023-12-10,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-12-10,Incident Closed-Managed,2023-12-14
201872,2023-12-08,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-12-08,Incident Closed-Managed,2023-12-14
201871,2023-12-07,Baltimore City,,Smoke,He observed smoke coming from a stack at Mechanic Shop.,2023-12-07,Incident Closed-Managed,2023-12-14
201869,2023-12-08,Anne Arundel,21403,Air,Sewer odors from facility detected in the nearby neighborhoods.,2023-12-08,Referred to WMA,
201868,2023-12-13,Cecil,21911,"Air, Odor",West Coast Mushroom Farm in Rising Sun is creating severe noxious odors due to composting activity,2023-12-13,Referred to LMA,
201867,2023-12-12,Cecil,21911,"Air, Odor",West Coast Mushroom Farm in Rising Sun is creating severe noxious odors due to composting activity.,2023-12-12,Referred to LMA,
201866,2023-12-11,Frederick,21757,Air,Dust from sandblasting & overspray from spray painting commercial vehicles.,2023-12-11,Referred to Attorney General's Office,
201865,2023-12-11,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-12-11,Incident Closed-Managed,2023-12-13
201864,2023-12-11,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-12-11,Incident Closed-Managed,2023-12-13
201863,2023-12-11,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-12-11,Incident Closed-Managed,2023-12-13
201862,2023-12-11,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-12-11,Incident Closed-Managed,2023-12-13
201861,2023-12-11,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-12-11,Incident Closed-Managed,2023-12-13
201860,2023-12-11,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-12-11,Incident Closed-Managed,2023-12-13
201859,2023-12-11,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-12-11,Incident Closed-Managed,2023-12-13
201858,2023-12-11,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-12-11,Incident Closed-Managed,2023-12-13
201857,2023-12-11,Prince George's,,Other,Loud boom noise in the Cheverly area,2023-12-11,Incident Closed-Managed,2023-12-13
201856,2023-12-08,Prince George's,,Other,Gas leak in multiple unit a development,2023-12-08,Incident Closed-Managed,2023-12-20
201855,2023-12-06,Garrett,21520,Smoke,Smoke form Wood Stove,2023-12-06,Incident Closed - No further action,2024-02-09
201852,2023-12-05,Washington,21756,Open Burning,Agricultural Open Burning,2023-12-05,Incident Closed - No further action,2023-12-12
201845,2023-12-03,Montgomery,20902,"Air, Odor, Open Burning",Neighbor routinely burns plastic.,2023-12-11,Referred to Outside Agency,
201843,2023-12-08,Charles,,Air,"Toxic, waste, carnage odor.  Surface mining activity.  Biosolids application in for this area.",2023-12-11,Under Investigation,
201842,2023-12-05,Anne Arundel,21403,Air,Sewer odor from the Annapolis Water Reclamation facility located on Edgewood RD,2023-12-05,Referred to WMA,
201841,2023-12-07,Charles,,Air,Waste odor.  Biosolid application in for this area.  Chaney Surface mining land.,2023-12-11,Under Investigation,
201831,2023-12-07,Anne Arundel,,Air,Complainant states smoke from burning tires at the Capitol Raceway facility.,2023-12-07,Incident Closed - No further action,2023-12-07
201830,2023-12-04,Frederick,21788,Air,Smoke from burning construction debris at residential yard.  Bringing materials onto property.,2023-12-04,Incident Closed-Managed,2023-12-11
201829,2023-12-06,Charles,,Air,"Toxic, dead carnage, waste or N gas odors.  Complainant contacted the CCHD first.",2023-12-07,Under Investigation,
201828,2023-12-04,Frederick,21701,Air,RIA Home Improvements creating dust from grinding a concrete garage floor in a duplex neighborhood.  Dust travelling to neighbors yards.,2023-12-04,Incident Closed-No Violation Observed,2023-12-11
201827,2023-12-04,Frederick,21757,Air,Dust from sand blasting vehicles,2023-12-04,Referred to Attorney General's Office,
201825,2023-12-01,Wicomico,21801,Open Burning,Neighbors open burning,2023-12-01,Under Investigation,
201823,,Baltimore,,Smoke,Smoke from neighbor's outdoor boiler.,2023-12-04,Incident Closed - No further action,2023-12-05
201822,2023-11-30,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-11-30,Incident Closed-Managed,2023-12-05
201821,2023-11-25,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-11-25,Incident Closed-Managed,2023-12-05
201820,2023-11-17,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-11-17,Incident Closed-Managed,2023-12-05
201819,2023-11-15,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-11-15,Incident Closed-Managed,2023-12-05
201818,2023-11-04,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-11-04,Incident Closed-Managed,2023-12-05
201814,2023-11-29,Prince George's,20781,Other,Concern of smoke and dust in Bladensburg,2023-12-04,Incident Closed-Managed,2023-12-08
201810,2023-12-01,Montgomery,20902,"Air, Fugitive Dust/Particulate Matter, Smoke",Neighbor has three modified diesel trucks releasing black smoke and particulate. The neighbor has also spilled oil on the road.,2023-12-01,Referred to Outside Agency,
201809,2023-11-28,Anne Arundel,21403,Air,Odor from Annapolis Water Reclamation facility on Edgewood RD,2023-12-01,Incident Closed-Managed,2023-12-08
191816,2023-11-30,Cecil,21911,"Air, Odor",Noxious odors emanating from West Coast Mushrooms.,2023-11-30,Referred to LMA,
191809,,Baltimore,,Fumes,Buying new furniture and the AQ of it.,2023-11-28,Incident Not Applicable to MDE,
191804,2023-10-02,Montgomery,20877,Air Pollutant Release,Construction of new Wawa Gas Station caused complainants asthma symptoms to worsen.,2023-11-28,Under Investigation,
191802,2023-11-27,Anne Arundel,21114,Air,Moth ball odor in her apartment.  Complainant inquiring about testing the air inside her apartment.,2023-11-28,Incident Closed - No further action,2023-11-29
191794,2023-11-27,Frederick,,Air,Dust from sand blasting,2023-11-27,Referred to Attorney General's Office,
191793,2023-11-22,Cecil,21911,"Air, Odor",West Coast Mushroom Farm composting creates severe noxious odors.,2023-11-22,Referred to LMA,
191783,2023-11-21,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-21,Incident Closed-Managed,2023-11-22
191782,2023-11-21,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-22,Incident Closed-Managed,2023-11-22
191781,2023-11-21,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-21,Incident Closed-Managed,2023-11-22
191780,2023-11-21,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-21,Incident Closed-Managed,2023-11-22
191779,2023-11-20,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-20,Incident Closed-Managed,2023-11-22
191778,2023-11-21,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-21,Incident Closed-Managed,2023-11-22
191777,2023-11-20,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-20,Incident Closed-Managed,2023-11-22
191776,2023-11-21,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-21,Incident Closed-Managed,2023-11-22
191775,2023-11-21,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-21,Incident Closed-Managed,2023-11-22
191774,2023-10-19,Cecil,21919,"Air, Fugitive Dust/Particulate Matter",Grass cutting at West View Shores Civic Association is creating nuisance dust.,2023-10-19,Incident Closed-Managed,2023-11-21
191773,2023-11-16,Cecil,21911,"Air, Odor","The complainant States:
""West Coast Mushroom Farm in Rising Sun is creating severe noxious odors.""",2023-11-16,Referred to Outside Agency,
191772,,St. Mary's,,Odor,Odors from cannabis facility,2023-11-21,Referred to Outside Agency,
191769,2023-11-21,Washington,21742,Fugitive Dust/Particulate Matter,Bees-Wings from Corn Dryer,2023-11-21,Under Investigation,
191766,2023-11-21,Anne Arundel,,Air,Dust from sandblasting and overspray from spray painting. Inadequate dust containment.,2023-11-21,Referred to Attorney General's Office,
191760,,Baltimore,,Odor,Spice odors are being emitted from McCormicks.,2023-11-17,Incident Closed-Managed,2023-11-20
191759,2023-11-17,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-17,Incident Closed-Managed,2023-11-20
191758,2023-11-18,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-18,Incident Closed-Managed,2023-11-20
191757,2023-11-19,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-19,Incident Closed-Managed,2023-11-20
191756,2023-11-19,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-19,Incident Closed-Managed,2023-11-20
191754,2023-11-19,Prince George's,,Other,concern of loud noise in the Cheverly area,2023-11-19,Incident Closed-Managed,2023-11-20
191748,2023-11-16,Carroll,,"Air, Smoke","Why is the air smoky/ hazy in Westminster, Carroll County, today?",2023-11-16,Incident Closed-Managed,2023-11-16
191747,2023-11-13,Cecil,21911,"Air, Odor",West Coast Mushroom Farm in Rising Sun is creating severe noxious odors.,2023-11-15,Referred to Outside Agency,
191746,2023-11-16,Anne Arundel,21403,Air,Odor,2023-11-16,Referred to WMA,
191741,,Harford,21017,Fumes,Fumes from the mechanical shop nearby are coming into the complainant's office building.,2023-11-13,Incident Closed-No Violation Observed,2023-11-30
191739,2023-11-13,Anne Arundel,21225,Air,Odors from vapors entering his house.,2023-11-13,Incident Not Applicable to MDE,
191738,2023-11-12,Anne Arundel,,Air,Smoke and odor from burning leaves in front yard firepit.,2023-11-14,Under Investigation,
191737,2023-11-11,Frederick,21701,Air,Smoke and odor from neighbor's operating large ceramic pottery kilns.,2023-11-11,Incident Closed-Managed,2023-11-14
191736,2023-11-07,Washington,21740,"Fugitive Dust/Particulate Matter, Smoke",Dust and Smoke,2023-11-07,Under Investigation,
191735,2023-11-08,Anne Arundel,21122,Air,Smoke from burning leaves.  Close to her house.,2023-11-08,Incident Closed - No further action,2023-11-14
191731,2023-11-10,Anne Arundel,,Air,"Trashy, swampy odor.  Complainant mentioned composting facility located on Quarantine Road, 21226",2023-11-13,Under Investigation,
191730,2023-11-10,Anne Arundel,,Air,"Trashy, swampy odor",2023-11-13,Under Investigation,
191729,2023-11-10,Anne Arundel,21060,Air,"Trashy, swampy odor",2023-11-10,Under Investigation,
191726,2023-11-10,Frederick,,Air,"Dust from sand blasting vehicles, over spray from spray painting, no control equipment.  Needs Permit for sand blasting operations.",2023-11-10,Referred to Attorney General's Office,
